body_system,health_concern,herb_name,latin_name,actions,indications,energetics,safety,dose_min_ml,dose_max_ml,dose_unit,ratio
Pregnancy & Lactation,Pregnancy & Lactation,Korean Ginseng,Panax ginseng,Adaptogen; Androgen-supportive; Tonic,Used for fatigue and low resilience,Warming; Moistening; Stimulating,High-dose or long-term use is avoided in pregnancy; if used at all it is at low dose under specialist guidance; lactation safety uncertain and may overstimulate sensitive infants,,,-,
Women's Health,Menopause,Korean Ginseng,Panax ginseng,Adaptogen; Energy tonic; Endocrine support,"Used for fatigue, low stamina, cognitive fog and mood instability in menopause",Warming; Moistening; Stimulating,Use cautiously in hypertension; avoid pregnancy; may interact with stimulants or anticoagulants,20,40,mL,1:2
Cardiovascular,Arrhythmia,Tienchi Ginseng,Panax notoginseng,Circulatory tonic; Microvascular modulator; Mild antiplatelet,Used in some traditions to support microcirculation and reduce blood stasis contributing to rhythm disturbance,Cooling; Moving; Blood-invigorating,Use only under professional supervision; avoid with anticoagulants or bleeding disorders,30,60,mL,1:2
Cardiovascular,Angina,Tienchi Ginseng,Panax notoginseng,Circulatory tonic; Antiplatelet; Microvascular protective,Traditionally used to move blood stasis and protect microvasculature in ischemic presentations and angina-type pain,Cooling; Moving; Blood-invigorating,Use only under practitioner supervision; avoid with anticoagulants or in bleeding tendencies,30,60,mL,1:2
Cardiovascular,Hypercholesterolaemia,Tienchi Ginseng,Panax notoginseng,Microvascular tonic; Antiplatelet; Anti-atherosclerotic adjunct,Used to protect microvasculature and modulate blood rheology in dyslipidaemic and atherosclerotic states,Cooling; Moving; Blood-invigorating,Use under professional supervision; avoid with anticoagulants or bleeding disorders,30,60,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Tienchi Ginseng,Panax notoginseng,Circulatory tonic; Antiplatelet,Used for microcirculation and blood stasis,Cooling; Moving,Blood-thinning and circulation-enhancing effects make it inappropriate in pregnancy and around delivery; avoid in lactation due to limited data,,,-,
Women's Health,Menorrhagia,Tienchi Ginseng,Panax notoginseng,Circulatory tonic; Haemostatic; Anti-inflammatory,"Used for heavy bleeding, bruising and pelvic stasis with fibroids or endometriosis",Cooling; Moving,Generally avoided in pregnancy due to blood-moving and antiplatelet actions; safe in non-pregnant adults under supervision,5,20,mL,1:2
Cardiovascular,Palpitations,Passionflower,Passiflora incarnata,Sedative; Anxiolytic; Antispasmodic,"Used for palpitations associated with nervousness, insomnia and mental overactivity",Cooling; Slightly drying; Calming,Generally safe; may potentiate sedative medications,15,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Passionflower,Passiflora incarnata,Sedative; Anxiolytic; Antispasmodic,Used for insomnia and anxiety in pregnancy,Cooling; Slightly drying; Calming,Generally considered low-risk and is commonly used in pregnancy and lactation at standard doses,,,-,
Women's Health,PMS,Passionflower,Passiflora incarnata,Sedative; Anxiolytic; Antispasmodic,"Ideal for PMS with anxiety, circular thinking, insomnia and smooth muscle tension",Cooling; Slightly drying; Calming,Generally safe for non-pregnant adults; caution with other CNS depressants at high doses,20,50,mL,1:2
Skin Condition,Fungal Infections,Pelargonium,Pelargonium sidoides,Antimicrobial; Immune-modulating; Mucosal tonic,"Supports fungal infections where respiratory, mucosal or systemic involvement is present",Cooling; Drying; Clearing,Generally safe; mild GI upset possible,20,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Pelargonium ,Pelargonium sidoides,Antimicrobial; Immune-modulating,Used for respiratory infections,Cooling; Drying; Clearing,Limited safety data; short-term use in pregnancy or lactation should be reserved for situations where benefits clearly outweigh risks and under professional supervision,,,-,
Digestion & Liver,Constipation,Harakeke,Phormium tenax,Mild laxative; Digestive stimulant; Traditional bowel tonic,"Traditionally used for sluggish bowels, fullness and difficult stool passage; supports bowel movement and digestive activity",Warming; Drying; Mildly stimulating,Use with care and under practitioner guidance; avoid in pregnancy and in acute inflammatory bowel states,15,40,mL,1:2
Digestion & Liver,Diarrhoea,Tanekaha,Phyllocladus trichomanoides,Astringent; Anti-inflammatory; Traditional haemostatic,"Traditionally used for loose stools and bleeding tendencies in the gut, helping to tighten and tone tissues",Drying; Cooling; Stabilising,Use only under practitioner guidance; limited formal safety data; avoid in pregnancy,15,30,mL,1:2
Haematology,Haemochromatosis,Tanekaha,Phyllocladus trichomanoides,Astringent; Anti-inflammatory; Traditional liver and vessel support,Used traditionally to support tissue integrity and inflammation which may benefit iron overload presentations,Cooling; Drying; Stabilising,Use under practitioner guidance; avoid in pregnancy,15,30,mL,1:2
Skin Condition,Boils,Poke Root,Phytolacca americana,Lymphatic; Strong immune stimulant; Glandular decongestant,"Used for hard, painful, deep boils and glandular abscess-type presentations",Cooling; Penetrating; Strongly moving,Low-dose herb only; use under experienced practitioner supervision; avoid in pregnancy and lactation,1,5,mL,1:2
Digestion & Liver,Bloating,Aniseed,Pimpinella anisum,Carminative; Antispasmodic; Mild expectorant; Aromatic digestive aid,"Relieves gas, bloating and intestinal cramping; particularly helpful in bloating involving tension or spasm; useful in digestive discomfort after meals",Warming; Moistening; Disperses gas and stagnation,Very safe; avoid with Apiaceae family allergy,,,mL,
Digestion & Liver,Colic (Infants),Aniseed,Pimpinella anisum,Carminative; Antispasmodic; Aromatic digestive aid,"Gently relieves wind, colic, intestinal cramping and bloating in infants; useful where trapped gas causes restlessness and crying",Warming; Moistening; Disperses gas and stagnation,Very safe at reduced paediatric doses; avoid in infants with known Apiaceae family allergy,15,25,mL,1:2
Digestion & Liver,Dyspepsia,Aniseed,Pimpinella anisum,Carminative; Antispasmodic; Mild expectorant,"Helpful in dyspepsia with gas, upper abdominal discomfort and cramping after meals",Warming; Moistening; Disperses gas,Very safe; avoid with Apiaceae family allergy,15,25,mL,1:2
Skin Condition,Fungal Infections,Aniseed,Pimpinella anisum,Carminative; Mild antimicrobial; Fungal-inhibitory,Useful as a supportive herb in digestive-associated fungal imbalance such as candidiasis,Warming; Moistening; Dispersing,Very safe; avoid with Apiaceae allergy,15,25,mL,1:2
Digestion & Liver,Bloating,Kawakawa,Piper excelsum,Carminative; Warming digestive aid; Mild analgesic; Anti-inflammatory,"Eases gas, bloating and digestive discomfort; supports sluggish digestion; helpful where bloating is linked to cold gut patterns or stress",Warming; Moving; Slightly drying,Generally safe; avoid high doses in pregnancy; mild stimulating effect in sensitive individuals,,,mL,
Cardiovascular,Circulation / Raynaud's Syndrome,Kawakawa,Piper excelsum,Warming peripheral circulatory stimulant; Mild analgesic,Traditional support for cold hands and feet and circulatory sluggishness,Warming; Moving; Slightly drying,Generally safe; avoid high doses in pregnancy; monitor in hypertension,20,40,mL,1:2
Skin Condition,Acne,Kawakawa,Piper excelsum,Anti-inflammatory; Circulatory stimulant; Gentle detoxifier,"Traditional herb for hot, inflamed skin conditions; supports toxin elimination and reduces inflammatory acne",Warming; Moving; Slightly drying,Generally safe; avoid high doses in pregnancy,20,40,mL,1:2
Skin Condition,Boils,Kawakawa,Piper excelsum,Anti-inflammatory; Circulatory stimulant; Traditional blood purifier,"Helps resolve boils with heat, redness and poor circulation; supports toxin clearance",Warming; Moving; Slightly drying,Generally safe; avoid high doses in pregnancy,20,40,mL,1:2
Skin Condition,Chilblains,Kawakawa,Piper excelsum,Warming peripheral circulatory stimulant; Mild analgesic,"Useful for cold, poorly perfused hands and feet; supports warming and improved local blood flow",Warming; Moving; Slightly drying,Generally safe; avoid high doses in pregnancy,20,40,mL,1:2
Skin Condition,Eczema,Kawakawa,Piper excelsum,Anti-inflammatory; Traditional skin remedy; Circulatory support,"Traditional M?ori herb for eczema, dry irritated skin and inflammatory dermatoses",Warming; Moving; Slightly drying,Generally safe; avoid high doses in pregnancy,20,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Kava,Piper methysticum,Anxiolytic; Sedative; Muscle relaxant,Used for anxiety and insomnia,Warming; Relaxing,Generally contraindicated in pregnancy and lactation due to hepatotoxicity concerns and CNS depressant effects,,,-,
Women's Health,Menopause,Kava,Piper methysticum,Anxiolytic; Sedative; Muscle relaxant,"Useful for anxiety-driven insomnia, irritability and tension during menopause",Warming; Relaxing,Contraindicated in pregnancy/lactation; avoid in liver disease; may interact with CNS depressants,10,30,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Ribwort,Plantago lanceolata,Mucosal soothing; Anti-inflammatory,"Used for cough, rhinitis and skin issues",Cooling; Moistening; Softening,Typically regarded as gentle and compatible with pregnancy and lactation in standard doses,,,-,
Digestion & Liver,Diarrhoea,Horopito,Pseudowintera colorata,Antimicrobial; Warming digestive; Carminative,"Used traditionally for infectious or dysbiotic bowel patterns with loose stools, bloating and discomfort",Warming; Drying; Penetrating,Use under practitioner guidance; may be irritating in high doses or very sensitive guts; avoid in pregnancy,10,30,mL,1:2
Cardiovascular,Circulation / Raynaud's Syndrome,Horopito,Pseudowintera colorata,Warming circulatory stimulant; Antimicrobial,"Traditionally used for cold, poorly perfused extremities and sluggish circulation",Warming; Drying; Penetrating,Use cautiously; may be irritating at high doses; avoid in pregnancy or very sensitive mucosa,10,30,mL,1:2
Skin Condition,Chilblains,Horopito,Pseudowintera colorata,Warming circulatory stimulant; Antimicrobial,"Traditionally used for cold, stagnant peripheral circulation contributing to chilblains",Warming; Drying; Penetrating,Use cautiously; avoid in pregnancy; may irritate sensitive mucosa,10,30,mL,1:2
Skin Condition,Fungal Infections,Horopito,Pseudowintera colorata,Antifungal; Antimicrobial; Warming digestive stimulant,Traditionally used for fungal infections including candida; supports clearance and reduces symptoms,Warming; Drying; Penetrating,Use cautiously; avoid in pregnancy; may irritate sensitive mucosa,10,30,mL,1:2
Cardiovascular,Angina,Kudzu,Pueraria lobata,Circulatory tonic; Vasodilator; Smooth muscle relaxant,"Used traditionally for neck and chest tension, headache and circulatory spasm that may accompany angina-type discomfort",Cooling; Relaxing; Moistening,Generally safe; mild GI upset possible in high doses,25,70,mL,1:2
Women's Health,Menopause,Kudzu,Pueraria lobata,Phytoestrogenic; Cooling; Anti-inflammatory,"Useful for hot flushes, vaginal dryness, irritability and oestrogen-deficiency symptoms",Cooling; Moistening; Nourishing,Generally safe in non-pregnant adults; caution in estrogen-sensitive cancers,20,40,mL,1:2
Cardiovascular,Hypercholesterolaemia,Pomegranate,Punica granatum,Antioxidant; Vascular protective; Mild hypolipidaemic,Supports endothelial function and lipid balance in atherosclerotic risk states,Cooling; Slightly drying; Astringent,Generally safe; high doses may cause mild GI upset,40,80,mL,1:2
Digestion & Liver,Constipation,Rehmannia,Rehmannia glutinosa,Nourishing tonic; Anti-inflammatory; Yin restorative,"Useful when constipation coexists with dryness, depletion or heat in traditional frameworks; often used in combination formulas rather than alone",Cooling; Moistening; Yin-nourishing,Generally safe; use cautiously in loose stools or marked digestive weakness,20,60,mL,1:2
Cardiovascular,Hypotension,Rehmannia,Rehmannia glutinosa,Yin and blood tonic; Adrenal and kidney support,"Applied where hypotension coexists with depletion, dizziness and heat signs in traditional frameworks",Cooling; Moistening; Nourishing,Generally safe; may be too cooling or heavy in very damp or sluggish digestion,20,60,mL,1:2
Skin Condition,Hyperhidrosis(Excessive sweating),Rehmannia,Rehmannia glutinosa,Yin tonic; Anti-inflammatory; Moistening tonic,"Useful where sweating is linked to depletion, heat or anxiety patterns; supports adrenal and fluid balance",Cooling; Moistening; Nourishing,Generally safe; may aggravate very damp or sluggish digestion,20,60,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Rehmannia,Rehmannia glutinosa,Yin tonic; Anti-inflammatory,Used in TCM for depletion and autoimmune patterns,Cooling; Moistening; Nourishing,Used in some traditional pregnancy formulas but Western safety data are limited; use only within experienced TCM practice; likely compatible with lactation at moderate doses,,,-,
Digestion & Liver,Constipation,Cascara,Rhamnus purshiana,Stimulating laxative; Bowel tonic; Bitter digestive,Indicated for short-term relief of atonic or sluggish constipation with incomplete evacuation and abdominal fullness,Cooling; Drying; Stimulating to bowel motility,"Use short term only; contraindicated in bowel obstruction, pregnancy, lactation and in children unless under close professional supervision",15,35,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Cascara,Rhamnus purshiana,Stimulating laxative; Bowel tonic,Used for constipation in non-pregnant adults only,Cooling; Drying; Strongly stimulating,Contraindicated in pregnancy due to stimulant laxative and uterine reflex concerns; avoid in lactation because of potential effects on infant bowel motility,,,-,
Digestion & Liver,Constipation,Rhubarb,Rheum officinale,Stimulant laxative; Cholagogue; Bitter,"Short-term support for constipation with fullness, abdominal tension and sluggish transit; often used in small doses with demulcents",Cooling; Drying; Strongly moving,"Use short term only; contraindicated in pregnancy, lactation, bowel obstruction or inflammatory bowel disease",10,25,mL,1:2
Men's Health,Erectile Dysfunction,Rhodiola,Rhodiola rosea,Adaptogen; Mitochondrial and stamina tonic; Nervine,"Useful for stress-related ED, performance anxiety and fatigue; enhances resilience and mental focus",Cooling to neutral; Drying; Lightly stimulating,Generally safe; avoid in bipolar disorder with mania; may cause insomnia if taken late,25,50,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Rhodiola,Rhodiola rosea,Adaptogen; Stimulatory tonic,"Used for fatigue, stress and cognition",Cooling to neutral; Drying; Lightly stimulating,Generally avoided in pregnancy and lactation due to its stimulating adaptogenic profile and limited safety data,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Rosemary,Rosmarinus officinalis,Circulatory stimulant; Cognitive tonic; Carminative,"Warming herb for circulation, memory and digestion",Warming; Drying; Stimulating,Culinary use is widely acceptable in pregnancy; concentrated medicinal doses are generally kept modest; compatible with breastfeeding at typical doses,,,-,
Women's Health,Fibroids,Rosemary,Rosmarinus officinalis,Circulatory stimulant; Mild hepatic support; Antioxidant,"Useful for pelvic congestion, sluggish liver clearance of hormones and fatigue associated with fibroids",Warming; Drying; Stimulating,Culinary use is very safe; medicinal doses should be used cautiously in hypertension or seizure disorders; avoid in pregnancy at high doses,10,25,mL,1:2
Digestion & Liver,Diarrhoea,Raspberry Leaf,Rubus idaeus,Astringent; Uterine tonic; Gut mucosal tonic,Useful for mild to moderate diarrhoea where toning and drying of the bowel is required without excessive harshness,Cooling; Drying; Toning,Very safe; commonly used in pregnancy for other indications; very high doses may cause mild nausea in some individuals,30,100,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Raspberry Leaves,Rubus idaeus folia,Uterine tonic; Mild astringent,Used widely as a late-pregnancy tea for uterine tone,Neutral; Drying; Toning,Traditionally used in second/third trimester to prepare for labour; often avoided in first trimester; generally considered compatible with breastfeeding at moderate doses,,,-,
Digestion & Liver,Constipation,Yellow Dock,Rumex crispus,Mild laxative; Alterative; Liver support,Used for chronic sluggish bowels with associated skin congestion or incomplete elimination; gently promotes bowel activity and detoxification,Cooling; Drying; Mildly stimulating,Generally safe at standard doses; avoid in severe diarrhoea or acute bowel inflammation,15,30,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Yellow Dock,Rumex crispus,Mild laxative; Alterative; Iron-supportive,Used for constipation and low iron with sluggish bowels,Cooling; Drying; Mildly stimulating,Can be used cautiously in pregnancy for constipation and iron support with professional guidance; compatible with breastfeeding in modest doses; avoid excessive laxative use,,,-,
Cardiovascular,Capillary fragility,Butchers Broom,Ruscus aculeatus,Venous tonic; Capillary stabiliser; Mild vasoconstrictor,"Indicated for venous insufficiency, oedema and capillary fragility with pooling in the lower limbs",Cooling; Drying; Toning,Generally safe; caution in severe hypertension or with vasoconstrictive drugs,25,50,mL,1:2
Cardiovascular,Thrombophlebitis,Butchers Broom,Ruscus aculeatus,Venous tonic; Anti-oedema; Capillary stabiliser,Supports venous tone and reduces pooling and inflammation in superficial thrombophlebitis patterns,Cooling; Drying; Toning,Use under practitioner guidance; caution in severe arterial disease or uncontrolled hypertension,25,50,mL,1:2
Cardiovascular,Varicose Veins,Butchers Broom,Ruscus aculeatus,Venous tonic; Capillary stabiliser; Anti-oedema,"Classic herb to reduce venous pooling, heaviness and swelling in varicose veins",Cooling; Drying; Toning,Generally safe; caution in severe arterial disease or hypertension,25,50,mL,1:2
Skin Condition,Bruising,Butchers Broom,Ruscus aculeatus,Venous tonic; Anti-oedema; Capillary stabiliser,"Useful for bruising with capillary fragility, swelling or venous insufficiency",Cooling; Drying; Toning,Generally safe; caution in severe hypertension or vasoconstrictive drug use,25,50,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Butcher's Broom,Ruscus aculeatus,Venous tonic; Anti-oedema,Used for venous insufficiency and haemorrhoids,Cooling; Drying; Toning,"Limited pregnancy data; often avoided in first trimester; if used for severe venous issues, keep dosing low and supervised; limited data in lactation so use cautiously",,,-,
Women's Health,Mastalgia,Butcher's Broom,Ruscus aculeatus,Venous tonic; Anti-oedema; Circulatory support,"Useful where breast pain is related to venous congestion, swelling or fluid retention",Cooling; Drying; Toning,Generally safe for non-pregnant adults; avoid pregnancy; limited lactation data—use cautiously,25,50,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Willow Bark,Salix alba,Analgesic; Anti-inflammatory; Antipyretic,Used as a salicylate-like analgesic,Cooling; Drying,"Generally avoided in pregnancy and breastfeeding because of salicylate-related concerns, especially near term and in neonates",,,-,
Cardiovascular,Angina,Dan Shen,Salvia miltiorrhiza,Circulatory tonic; Antiplatelet; Coronary vasodilator; Antioxidant,Traditionally used to support coronary blood flow and reduce ischemic discomfort in angina-type presentations,Cooling; Moving; Blood-activating,Use only under professional supervision; avoid with anticoagulant/antiplatelet drugs or in bleeding disorders,25,50,mL,1:2
Cardiovascular,Circulation / Raynaud's Syndrome,Dan Shen,Salvia miltiorrhiza,Circulatory tonic; Microvascular protective; Antiplatelet,Supports blood flow and reduces blood stasis in peripheral and digital vessels in Raynaud-type presentations,Cooling; Moving; Blood-activating,Use with supervision; avoid with anticoagulant therapy and in bleeding disorders,25,50,mL,1:2
Cardiovascular,Heart Failure,Dan Shen,Salvia miltiorrhiza,Cardiotonic; Antioxidant; Microcirculatory support,Used by practitioners to support myocardial function and microcirculation in chronic cardiac insufficiency alongside conventional care,Cooling; Moving; Blood-activating,Use only under specialist supervision in heart failure; avoid with anticoagulants,25,50,mL,1:2
Cardiovascular,Hypertension,Dan Shen,Salvia miltiorrhiza,Circulatory tonic; Mild hypotensive; Antiplatelet,Supports vascular relaxation and microcirculation in chronic hypertension patterns,Cooling; Moving; Blood-activating,Use with supervision; avoid with anticoagulants and in bleeding disorders,25,50,mL,1:2
Cardiovascular,Palpitations,Dan Shen,Salvia miltiorrhiza,Circulatory tonic; Mild antiarrhythmic support; Microvascular protective,Supports coronary and microcirculation in chronic palpitations related to blood stasis patterns,Cooling; Moving; Blood-activating,Use with supervision; avoid with anticoagulants and bleeding disorders,25,50,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Dan Shen,Salvia miltiorrhiza,Circulatory tonic; Antiplatelet,Used for blood stasis and cardiovascular disease,Cooling; Moving,"Because of blood-thinning and circulatory effects, it is best avoided in pregnancy and lactation except under specialist care in complex cardiac cases",,,-,
Digestion & Liver,Bloating,Sage,Salvia officinalis,Carminative; Astringent; Antimicrobial; Warming digestive tonic,"Helps reduce bloating with dampness, fermentation or weak digestion; improves gut tone and reduces excessive gas formation",Warming; Drying; Clearing; Stimulating,Normal therapeutic doses are safe; avoid high doses in pregnancy due to thujone content,,,mL,
Skin Condition,Hyperhidrosis(Excessive sweating),Sage,Salvia officinalis,Antihidrotic; Astringent; Nervine,"Indicated for excessive sweating (day or night), menopausal sweats and hyperactive sweat glands",Warming; Drying; Clearing,Generally safe; avoid high doses in pregnancy; caution in epilepsy due to thujone content,15,30,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Sage,Salvia officinalis,Antihidrotic; Antimicrobial; Digestive,Used for sweats and sore throat,Warming; Drying; Clearing,"Internal medicinal doses are generally avoided in pregnancy due to thujone; high amounts can reduce milk supply, so it is used sparingly postpartum for oversupply or weaning only under guidance",,,-,
Women's Health,Menopause,Sage,Salvia officinalis,Antihidrotic; Hormone modulating; Cognitive support,Primary herb for hot flushes and excessive sweating during menopause,Warming; Drying; Clearing,Strong doses avoided in pregnancy; may reduce lactation; safe in non-pregnant menopausal adults at standard doses,15,30,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Elder Flowers,Sambucus nigra flos,Diaphoretic; Mild antiviral; Respiratory support,Used traditionally for colds and flu in pregnancy,Cooling; Moistening; Lightly dispersing,Generally considered safe for pregnancy and lactation at typical tea-level or tincture doses,,,-,
Men's Health,Erectile Dysfunction,Schisandra,Schisandra chinensis,Adaptogen; Hepatoprotective; Sexual tonic,"Supports sexual endurance, stress resilience and adrenal function in men with ED related to exhaustion or overwork",Warming; Astringent; Toning,Generally safe; may interact with some medications via liver enzymes—use caution with polypharmacy,20,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Schisandra,Schisandra chinensis,Adaptogen; Hepatoprotective; Astringent,"Used for stress, endurance and liver support",Warming; Astringent; Toning,Used in TCM formulas including some pregnancy contexts but modern safety evidence is limited; generally avoided or used cautiously under specialist supervision; likely compatible with breastfeeding at modest doses,,,-,
Women's Health,Fibroids,Schisandra,Schisandra chinensis,Adaptogen; Hepatoprotective; Astringent,"Supports liver metabolism of hormones, stress resilience and bleeding control in fibroid presentations",Warming; Astringent; Toning,Generally safe for non-pregnant adults; use cautiously in pregnancy/lactation; may interact with medications metabolised by liver enzymes,20,40,mL,1:2
Skin Condition,Eczema,Figwort,Scrophularia nodosa,Alterative; Lymphatic; Anti-inflammatory,"Traditionally used for chronic eczema, lymphatic stagnation and inflamed skin",Cooling; Moistening; Softening,Generally safe; avoid high doses in pregnancy,10,30,mL,1:2
Haematology,Haemochromatosis,Baical Skullcap,Scutellaria baicalensis,Anti-inflammatory; Hepatoprotective; Antioxidant,Supports liver integrity and inflammation control in iron overload states; aids detoxification pathways,Cooling; Drying; Clearing,Generally safe; high doses may cause mild GI upset,20,40,mL,1:2
Skin Condition,Eczema,Baical Skullcap,Scutellaria baicalensis,Anti-inflammatory; Antiallergic; Antioxidant,"Useful in hot, inflamed eczema with redness, heat and irritation",Cooling; Drying; Clearing,Generally safe; high doses may cause mild GI upset,20,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Baical Skullcap,Scutellaria baicalensis,Anti-inflammatory; Antiallergic; Hepatoprotective,Not a routine pregnancy herb; sometimes considered in severe inflammatory states,Cooling; Drying; Clearing,Animal data raise some concerns; avoid in pregnancy; if considered in lactation keep short term and under specialist supervision only,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Skullcap,Scutellaria lateriflora,Nervine; Anxiolytic; Mild sedative,"Used for anxiety, insomnia and nervous tension",Neutral to cooling; Calming,Generally considered gentle and likely compatible in pregnancy and breastfeeding when used at moderate doses under supervision,,,-,
Women's Health,PMS,Skullcap,Scutellaria lateriflora,Nervine tonic; Anxiolytic; Mild sedative,"Excellent for PMS with nervous tension, restlessness, agitation and sleep disturbance",Neutral to cooling; Calming,Well tolerated at normal doses; generally safe for non-pregnant adults; mild drowsiness possible,20,40,mL,1:2
Men's Health,Benign Prostatic Hypertrophy (BPH),Saw Palmetto,Serenoa repens,Prostate trophorestorative; 5-?-reductase modulating; Mild anti-inflammatory,"Key herb for BPH with urinary hesitancy, nocturia and reduced stream; supports prostate size and function over time",Warming to neutral; Moistening; Nourishing,Generally safe; rare GI upset; caution with hormone-sensitive cancers pending specialist advice,30,60,mL,1:2
Men's Health,Fertility,Saw Palmetto,Serenoa repens,Prostate and androgen-modulating tonic,"Helps optimise androgen balance and prostate health in fertility workups, especially in older men",Warming to neutral; Moistening; Nourishing,Generally safe; theoretical caution in hormone-sensitive conditions,30,60,mL,1:2
Men's Health,Prostatitis,Saw Palmetto,Serenoa repens,Prostate trophorestorative; Anti-inflammatory; Mild androgen-modulating,"Indicated in chronic prostatitis, especially when coexisting with BPH and pelvic congestion",Warming to neutral; Moistening; Nourishing,Generally safe; theoretical caution in hormone-sensitive cancers pending specialist advice,30,60,mL,1:2
Skin Condition,Acne,Saw Palmetto,Serenoa repens,Androgen-modulating; Anti-inflammatory,"Useful for acne with elevated androgens, oily skin and hormonal imbalance",Warming to neutral; Moistening; Nourishing,Generally safe; theoretical caution in hormone-sensitive conditions,30,60,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Saw Palmetto,Serenoa repens,Androgen modulator; Prostate tonic,Used for male-pattern conditions,Warming to neutral; Moistening,Hormonal actions and lack of pregnancy data mean it is avoided in pregnancy and breastfeeding,,,-,
Women's Health,Fertility,Saw Palmetto,Serenoa repens,Androgen-modulating; Endocrine support,Indicated for fertility where elevated androgens disrupt ovulation,Warming to neutral; Moistening,Not used in pregnancy; safe in androgen-driven cycle disturbances; may interact with hormonal medications,30,60,mL,1:2
Women's Health,PCOS,Saw Palmetto,Serenoa repens,Androgen-modulating; Ovarian and skin support,"Useful where hyperandrogenism contributes to hirsutism, acne, androgenic alopecia and anovulatory cycles",Warming to neutral; Moistening,Generally safe for non-pregnant adults; avoid pregnancy; use cautiously with hormone therapies or anticoagulants,30,60,mL,1:2
Digestion & Liver,Bloating,St Mary's Thistle,Silybum marianum,Hepatoprotective; Liver restorative; Mild bitter; Cholagogue,"Useful where bloating is associated with sluggish liver function, impaired detoxification, heavy meals or fat intolerance; supports overall liver processing",Cooling; Slightly drying; Restorative,Very safe; caution with Asteraceae allergy,40,80,mL,1:1
Digestion & Liver,Constipation,St Mary's Thistle,Silybum marianum,Hepatoprotective; Liver restorative; Mild bitter; Cholagogue,"Supports constipation linked to sluggish liver detoxification, poor bile flow and history of liver overload",Cooling; Slightly drying; Restorative,Very safe; caution with Asteraceae allergy,30,60,mL,1:1
Haematology,Haemochromatosis,St Mary's Thistle,Silybum marianum,Hepatoprotective; Antioxidant; Liver restorative,Key herb for liver protection from oxidative stress and iron overload in haemochromatosis,Cooling; Slightly drying; Restorative,Very safe; caution with Asteraceae allergy,30,60,mL,1:1
Pregnancy & Lactation,Pregnancy & Lactation,St Mary's Thistle,Silybum marianum,Hepatoprotective; Liver restorative,"Used for liver stress, cholestasis and detox support",Cooling; Slightly drying; Restorative,Generally regarded as low-toxicity and sometimes used in intrahepatic cholestasis of pregnancy within medical care; use under professional supervision in pregnancy and lactation,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,St Mary's Thistle,Silybum marianum,Hepatoprotective; Liver restorative,Low-alcohol form for sensitive patients,Cooling; Slightly drying,As above; form may be suitable where alcohol-free preparation is preferred in pregnancy/lactation,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Sarsaparilla,Smilax officinalis,Alterative; Hormonal and immune modulator,Used for chronic skin and rheumatic complaints,Neutral to warming; Drying,"Limited data; generally avoided in pregnancy and lactation, particularly at higher doses",,,-,
Women's Health,PCOS,Sarsaparilla,Smilax officinalis,Alterative; Mild hormone-modulating; Liver support,Supports detoxification of steroid hormones and chronic inflammatory/skin manifestations of PCOS,Neutral to warming; Drying,Limited human data but generally well tolerated in non-pregnant adults; avoid in pregnancy and lactation,20,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Golden Rod,Solidago virgaurea,Diuretic; Anti-inflammatory; Mucosal tonic,Used for urinary and respiratory issues,Cooling; Drying; Toning,Limited data; likely low-risk at modest doses but generally reserved for when clearly indicated and used cautiously in pregnancy and lactation,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Wood Betony,Stachys officinalis,Nervine; Mild bitter; Anxiolytic,Used for tension headaches and anxiety,Neutral; Grounding,Safety data are limited; likely low-risk but generally reserved for when clearly needed and used cautiously in pregnancy and lactation,,,-,
Skin Condition,Bruising,Comfrey,Symphytum officinale,Vulnerary; Tissue-repair stimulant; Anti-inflammatory,"Applied topically for bruises, sprains and contusions to support connective tissue healing",Cooling; Moistening; Restorative,External use only; avoid on deep or infected wounds; internal use not recommended,,,-,
